예술의전당 콘서트홀,2018평창겨울음악제-Opera Gala Concert,기획,2018-01-31,2018-01-31,1476
예술의전당 IBK챔버홀,클래식 기타리스트 배장흠 독주회,대관,2018-02-01,2018-02-01,228
예술의전당 리사이틀홀,박재린 바이올린 독주회,대관,2018-02-01,2018-02-01,225
예술의전당 콘서트홀,서울시향 2018 베토벤 피아노 협주곡 황제,대관,2018-02-01,2018-02-01,2321
예술의전당 IBK챔버홀,뷔에르 앙상블 제3회 정기연주회,대관,2018-02-02,2018-02-02,279
예술의전당 리사이틀홀,이지행 귀국 첼로 독주회,대관,2018-02-02,2018-02-02,278
예술의전당 IBK챔버홀,앙상블 에스프리 콘서트,대관,2018-02-03,2018-02-03,424
예술의전당 IBK챔버홀,플루트 앙상블 아디나 제7회 정기연주회,대관,2018-02-03,2018-02-03,405
예술의전당 리사이틀홀,임재성 첼로 독주회,대관,2018-02-03,2018-02-03,181
예술의전당 리사이틀홀,김예슬 귀국 피아노 독주회,대관,2018-02-03,2018-02-03,247
예술의전당 콘서트홀,러브레터 - 이와이 슈운지 시네마 콘서트,대관,2018-02-03,2018-02-03,1655
예술의전당 IBK챔버홀,제9회 콘체르티노 앙상블 정기연주회,대관,2018-02-04,2018-02-04,161
예술의전당 IBK챔버홀,에뜨왈 스트링 콰르텟 제2회 정기연주회,대관,2018-02-04,2018-02-04,248
예술의전당 리사이틀홀,차민정 비올라 독주회,대관,2018-02-04,2018-02-04,325
예술의전당 리사이틀홀,박상현 귀국 콘트라베이스 독주회,대관,2018-02-04,2018-02-04,331
예술의전당 콘서트홀,2018 KCO 신년음악회 - 제159회 정기연주회,대관,2018-02-04,2018-02-04,1265
예술의전당 CJ 토월극장,연극 <리차드 3세>,대관,2018-02-06,2018-03-04,23620
예술의전당 IBK챔버홀,피아모레 제2회 정기연주회,대관,2018-02-06,2018-02-06,162
예술의전당 리사이틀홀,나재령 플루트 독주회,대관,2018-02-06,2018-02-06,146
예술의전당 IBK챔버홀,윤여훈 첼로 독주회,대관,2018-02-07,2018-02-07,425
예술의전당 리사이틀홀,김진희 귀국 피아노 독주회,대관,2018-02-07,2018-02-07,161
예술의전당 자유소극장,가족발레극 [댄싱 뮤지엄],대관,2018-02-07,2018-02-11,1193
예술의전당 콘서트홀,<제 4회 예술의전당 예술대상> 시상식,기획,2018-02-07,2018-02-07,678
예술의전당 한가람미술관,서울 뷰티인그레이스 글로벌 아트페어,대관,2018-02-07,2018-02-13,4808
예술의전당 IBK챔버홀,KCO 첼로 앙상블 제5회 정기연주회,대관,2018-02-08,2018-02-08,320
예술의전당 리사이틀홀,안신영 바이올린 독주회,대관,2018-02-08,2018-02-08,75
예술의전당 콘서트홀,2018 크로스오버심포니오케스트라 신년음악회,대관,2018-02-08,2018-02-08,882
예술의전당 콘서트홀,한화생명과 함께하는 예술의전당 11시콘서트(2월),기획,2018-02-08,2018-02-08,1594
예술의전당 IBK챔버홀,최현아 귀국 피아노 독주회,대관,2018-02-09,2018-02-09,215
예술의전당 리사이틀홀,유효정 첼로 귀국 독주회,대관,2018-02-09,2018-02-09,210
예술의전당 서울서예박물관,동아시아 필묵의 힘 - 2018년 평창올림픽&패럴림픽 기념 한중일 서예 거장전,기획,2018-02-09,2018-04-01,5540
예술의전당 IBK챔버홀,이석중 바이올린 독주회,대관,2018-02-10,2018-02-10,93
예술의전당 IBK챔버홀,국립합창단 제171회 정기연주회 창작합창의 밤,대관,2018-02-10,2018-02-10,456
예술의전당 리사이틀홀,김연정 바이올린 독주회,대관,2018-02-10,2018-02-10,138
예술의전당 IBK챔버홀,V9 제2회 정기연주회,대관,2018-02-11,2018-02-11,284
예술의전당 IBK챔버홀,앙상블 화[和] 콘서트,대관,2018-02-11,2018-02-11,298
예술의전당 리사이틀홀,문수형 바이올린 독주회,대관,2018-02-11,2018-02-11,156
예술의전당 리사이틀홀,예진초청 Karl-Heinz Schutz 플루트 독주회,대관,2018-02-11,2018-02-11,177
예술의전당 콘서트홀,제22회 유나이티드 필하모닉 오케스트라와 함께하는 가족음악회,대관,2018-02-11,2018-02-11,1984
예술의전당 IBK챔버홀,서울챔버앙상블 제66회 정기연주회,대관,2018-02-13,2018-02-13,265
예술의전당 리사이틀홀,박준태 귀국 바순 독주회,대관,2018-02-13,2018-02-13,184
예술의전당 자유소극장,옹알스 앵콜,대관,2018-02-13,2018-02-23,1548
예술의전당 콘서트홀,예술의전당 개관30주년 기념 음악회 - 사라 장과 17인의 비르투오지,기획,2018-02-13,2018-02-13,2393
예술의전당 한가람미술관,"이동협展 ""이씨산수11.서울2""",대관,2018-02-17,2018-02-27,6350
예술의전당 IBK챔버홀,피아니스트 주희성 베토벤 함머클라비어: 첫 음반 발매 리사이틀,대관,2018-02-20,2018-02-20,360
예술의전당 리사이틀홀,장하얀 첼로 독주회,대관,2018-02-20,2018-02-20,209
예술의전당 콘서트홀,골든오페라 갈라 콘서트,대관,2018-02-20,2018-02-20,1518
예술의전당 IBK챔버홀,진은준 트럼펫 독주회,대관,2018-02-21,2018-02-21,347
예술의전당 리사이틀홀,최정주 첼로 독주회,대관,2018-02-21,2018-02-21,241
예술의전당 콘서트홀,곤지암 플루트 페스티벌 2018,대관,2018-02-21,2018-02-21,885
예술의전당 IBK챔버홀,바리톤 성승욱 리사이틀,대관,2018-02-22,2018-02-22,313
예술의전당 리사이틀홀,박지선 바이올린 독주회,대관,2018-02-22,2018-02-22,187
예술의전당 콘서트홀,정치용 예술감독 취임 기념 음악회-코리안심포니오케스트라 제205회 정기연주회,대관,2018-02-22,2018-02-22,1173
예술의전당 IBK챔버홀,팬아시아필하모니아 제5회 정기연주회 -모차르트 시리즈1,대관,2018-02-23,2018-02-23,259
예술의전당 리사이틀홀,Mystery Baroque : 하프시코드  미지의세계를그리다 - 이은지 하프시코드 독주회,대관,2018-02-23,2018-02-23,213
예술의전당 콘서트홀,KBS교향악단 제727회 정기연주회,대관,2018-02-23,2018-02-23,1338
예술의전당 IBK챔버홀,제5회 실내악스케치,대관,2018-02-24,2018-02-24,350
예술의전당 IBK챔버홀,얀 리치에츠키 피아노 리사이틀,대관,2018-02-24,2018-02-24,521
예술의전당 리사이틀홀,김영미 플루트 독주회,대관,2018-02-24,2018-02-24,142
예술의전당 리사이틀홀,우영욱 플루트 독주회,대관,2018-02-24,2018-02-24,90
예술의전당 콘서트홀,지용 ‘I AM NOT THE SAME’,대관,2018-02-24,2018-02-24,1674
예술의전당 IBK챔버홀,지음지기 브라스 콰이어 다섯 번째 이야기,대관,2018-02-25,2018-02-25,291
예술의전당 IBK챔버홀,"제20회 아티너스 정기연주회 우리 함께 춤을, again",대관,2018-02-25,2018-02-25,458
예술의전당 리사이틀홀,Beethoven 32 Piano Sonatas + α Series 5,대관,2018-02-25,2018-02-25,261
예술의전당 콘서트홀,함신익과 심포니 송 마스터즈 시리즈,대관,2018-02-25,2018-02-25,1559
예술의전당 IBK챔버홀,유럽의 거장들과 함께하는 실내악의 밤 Aimez-vous Brahms..?,대관,2018-02-27,2018-02-27,217
예술의전당 리사이틀홀,김예현 오보에 독주회,대관,2018-02-27,2018-02-27,157
예술의전당 IBK챔버홀,2018 문화가 있는 날 SAC 아티스트 라운지(2월),기획,2018-02-28,2018-02-28,504
예술의전당 리사이틀홀,황소진 첼로 독주회,대관,2018-02-28,2018-02-28,170
예술의전당 자유소극장,신창극시리즈1-소녀가,대관,2018-02-28,2018-03-04,1044
예술의전당 IBK챔버홀,나윤주 첼로 독주회,대관,2018-03-01,2018-03-01,285
예술의전당 리사이틀홀,홍성은 첼로 독주회,대관,2018-03-01,2018-03-01,308
예술의전당 IBK챔버홀,오케스트라 앙상블 서울 OES의 쇤베르크 정화된 밤,대관,2018-03-02,2018-03-02,232
예술의전당 리사이틀홀,김지은 귀국 튜바 독주회,대관,2018-03-02,2018-03-02,115
예술의전당 오페라극장,유니버설발레단 스페셜 갈라,대관,2018-03-02,2018-03-04,4428
예술의전당 콘서트홀,평화콘서트,대관,2018-03-02,2018-03-02,1549
예술의전당 한가람미술관,2018 한국미술응원프로젝트展,대관,2018-03-02,2018-03-09,5519
예술의전당 IBK챔버홀,아르끼뮤직소사이어티 2018 정기연주회,대관,2018-03-03,2018-03-03,229
예술의전당 IBK챔버홀,코리안 피스 오케스트라 제4회 정기연주회,대관,2018-03-03,2018-03-03,212
예술의전당 리사이틀홀,곽나영 오보에 독주회,대관,2018-03-03,2018-03-03,168
예술의전당 리사이틀홀,박수정 귀국 피아노 독주회,대관,2018-03-03,2018-03-03,220
예술의전당 콘서트홀,"WE콘서트, 음악으로 하나되는 우리",대관,2018-03-03,2018-03-03,1367
예술의전당 IBK챔버홀,김현미 바이올린 독주회,대관,2018-03-04,2018-03-04,397
예술의전당 IBK챔버홀,피아니스트 김 준 리사이틀,대관,2018-03-04,2018-03-04,267
예술의전당 리사이틀홀,김민조 클라리넷 독주회,대관,2018-03-04,2018-03-04,220
예술의전당 리사이틀홀,오현진 귀국 바이올린 독주회,대관,2018-03-04,2018-03-04,260
예술의전당 콘서트홀,베토벤 장엄미사ㅣ제69회 서울오라토리오 정기연주회 위대한 유산 시리즈 11,대관,2018-03-04,2018-03-04,2238
예술의전당 IBK챔버홀,서울시향 2018 실내악 시리즈 I,대관,2018-03-06,2018-03-06,557
